molecule,Patient,Sample,Depth,Treat,hydroxyphenazine,pyocyanin,Phenazine-1-carboxylic acid,PCN,Pyochelin,NHQ,quinolone286a,quinolone286b,C9:db NHQ,HHQ,db HQNO,C11:db UHQa,C11:db UHQb,quinolone300,quinolone268,quinolone216,db HHQ,quinolone,quinolone202,quinolone282,quinolone312a,quinolone312b,quinolone328,quinolone354,quinolone370,HQNO,PQS,HQNO246a,HQNO246b,HQNO232,NQNO,C9 PQS,quinolone200,HQNO218,HQNO344,PQS302,PQS342,Rha668,RhaC10C10,RhaC10C10b,Rha682,Rha694,Rha696,Rha665,Rha724,Rha679,Rha696,Ampicillin,Rha522Na,Rha527Na,Rha673Na
49_NT2_BF2_01_32123.mzML,49,NT2,2,NT,3.098989639,2.911690159,3.651665604,2.428134794,4.271190839,5.722637213,3.857091155,3.751587005,3.818225894,5.08885872,4.209622235,4.894249584,4.27443497,3.758003009,3.953469743,2.301029996,3.981365509,3.614897216,3.834293512,4.924031047,3.119255889,3.540579717,3.684486292,3.214843848,3.407560849,4.680842952,3.345569756,3.836830286,3.041392685,3.539577883,4.166726056,2.465382851,2.301029996,3.265760917,3.90330708,2.786751422,3.520614522,2.892094603,2.45331834,3.3586961,2.835056102,2.691965103,2.748188027,2.772321707,3.103119254,2.760422483,3.113943352,6.415467494,3.577031986,3.381656483,2.911690159
49_NT3_BF3_01_32124.mzML,49,NT3,3,NT,3.724603515,2.976808337,3.690550462,2.754348336,4.254403046,5.730565882,3.861414919,3.719331287,3.798512533,4.922953701,4.53615426,4.787602146,3.154728207,3.793790385,4.074231138,3.395151592,4.165541077,3.414304688,3.675411694,4.984095054,2.459392488,3.387389826,2.301029996,3.230448921,3.274157849,4.85416024,3.59900924,3.61658053,2.86923172,3.477121255,4.373647472,3.173768823,3.228400359,3.416973173,3.587935349,2.766412847,3.455149521,3.301029996,3.010299957,2.781036939,2.748188027,2.301029996,3.268577972,2.803457116,2.482873584,2.301029996,3.229425848,6.36682699,3.433289685,3.04453976,3.160768562
49_NT4_BF4_01_32125.mzML,49,NT4,4,NT,3.501880494,2.837588438,3.127104798,2.350248018,3.832764305,5.209707991,3.532499586,3.286007122,3.649334859,4.799726418,3.858296525,4.061301656,2.447158031,3.119255889,3.449015316,3.025305865,3.834802054,3.160768562,3.254306332,4.759818877,3.28510703,2.541579244,3.119255889,3.491921713,3.13481437,4.526442669,3.471291711,3.533517862,2.447158031,3.127104798,3.915716338,2.781036939,2.536558443,3.354876423,3.384532615,2.301029996,3.038222638,2.940516485,2.722633923,2.907411361,2.551449998,3.32056168,2.597695186,3.286007122,2.301029996,2.372912003,2.482873584,6.44179502,2.832508913,3.187520721,2.969415912
49_NT5_BF5_01_32126.mzML,49,NT5,5,NT,3.289588953,2.301029996,3.527887566,2.673941999,4.009620841,5.133104397,3.655906418,2.896526217,3.515343893,4.626791881,3.984797257,3.90156729,2.301029996,2.301029996,3.490800952,3.50731604,3.951337519,2.894316063,4.093841767,4.909063692,3.450249108,2.940516485,2.301029996,2.940516485,3.480006943,4.567637949,3.220108088,3.8896378,2.84509804,3.079181246,4.166607703,2.751279104,3.103119254,3.46478752,3.116607744,2.301029996,2.974971994,3.116607744,3.215901813,3.472463897,3.301029996,3.196452542,3.276921132,2.766412847,2.428134794,3.219060332,3.149834697,6.362740261,3.200850498,3.250420002,2.712649702
49_NT6_BF6_01_32127.mzML,49,NT6,6,NT,3.161966616,2.301029996,3.499687083,2.301029996,3.581608366,4.569654764,3.059941888,2.301029996,3.400019635,4.556784782,3.456366033,2.301029996,2.499687083,2.301029996,2.705863712,2.301029996,3.792671789,2.301029996,4.131490346,4.690444177,3.662001879,2.301029996,2.597695186,2.639486489,3.561101384,4.343999069,3.433929766,3.563006187,2.401400541,3.427486109,3.706888395,3.130976692,2.301029996,3.31386722,2.84509804,2.301029996,3.216957207,2.401400541,2.698970004,3.372175286,2.414973348,2.342422681,2.301029996,2.326335861,2.301029996,2.854913022,2.898725182,6.38813745,3.050766311,2.816903839,2.459392488
49_NT7_BF7_01_32128.mzML,49,NT7,7,NT,3.444669231,2.380211242,3.390935107,2.301029996,3.753736222,4.68261433,3.010299957,2.309630167,3.559188189,4.879737954,3.763427994,3.222196046,2.301029996,2.301029996,3.250420002,3.253338005,3.685920792,3.08350262,3.941710149,4.958582994,2.926342447,2.651278014,2.651278014,3.565847819,3.050766311,4.572034721,3.092018471,3.35564305,2.301029996,3.211654401,3.771734425,2.757396029,2.936513742,3.239549721,3.712986234,2.561101384,3.100370545,2.987666265,2.909556029,3.205204364,2.880813592,3.138618434,3.070407322,3.093421685,2.631443769,2.873901598,2.301029996,6.379231527,3.16790781,2.938519725,2.301029996
49_NT8_BF8_01_32129.mzML,49,NT8,8,NT,3.257198426,2.301029996,3.343999069,2.301029996,3.692670699,4.382881167,3.336859821,2.301029996,3.056904851,4.886490725,3.751279104,2.301029996,2.852479994,2.350248018,3.011993115,3.476541809,3.686993566,2.301029996,4.125936467,5.004252569,3.318063335,2.477121255,2.301029996,3.720324717,3.389520466,4.59279832,3.230448921,2.996511672,2.301029996,3.403463701,3.653212514,2.541579244,2.942504106,3.556784782,3.747877706,2.8876173,2.905256049,3.010299957,3.302763708,3.365487985,2.800717078,2.827369273,2.301029996,2.909556029,2.301029996,2.7355989,2.301029996,6.391893029,3.477699928,3.068927612,2.531478917
49_NT9_BF9_01_32130.mzML,49,NT9,9,NT,3.283301229,2.944482672,3.356408327,2.440909082,3.750354089,3.735279448,2.832508913,2.301029996,3.363235804,4.463056428,3.471878199,2.301029996,2.301029996,2.593286067,3.199755177,3.144885418,3.756179517,2.301029996,4.077876404,5.045510741,3.323870607,2.722633923,2.301029996,3.203032887,2.651278014,4.499136995,3.193124598,3.15715444,2.772321707,3.154728207,3.288696261,2.301029996,2.301029996,3.240549248,3.48515335,2.357934847,2.819543936,2.959994838,2.561101384,3.34084055,2.619093331,3.050766311,3.205204364,3.006893708,2.301029996,3.159567193,2.976808337,6.392621692,3.192009593,3.098989639,3.103119254
49_NT10_BF10_01_32131.mzML,49,NT10,10,NT,3.270445908,2.643452676,3.039810554,2.62324929,3.382377303,3.338456494,2.7355989,2.670245853,3.020361283,3.873436863,3.428782511,3.165541077,2.465382851,2.334453751,2.602059991,3.428782511,3.686993566,2.45331834,3.684845362,5.100398118,3.186391216,2.301029996,2.662757832,3.260071388,3.52530401,4.404833717,2.980457892,3.364738555,2.619093331,3.112605002,3.205204364,2.380211242,3.0523091,3.139879086,3.62076049,2.584331224,2.915927212,3.026941628,2.531478917,3.04453976,3.230448921,2.965671971,2.88536122,2.301029996,2.745074792,3.312177356,2.301029996,6.387009474,3.209515015,3.652052848,2.643452676
69_NT1_BA1_01_32481.mzML,69,NT1,1,NT,3.978089173,2.301029996,3.163161375,2.301029996,5.10613648,6.756021729,5.088901191,4.854670332,4.8307939,4.246005904,5.610434442,5.950559562,5.388832702,6.089010179,4.839930333,5.123721006,5.721246573,5.14862733,4.523330177,4.739192467,3.883547879,5.047228125,5.371333902,2.357934847,3.737828506,6.065364568,4.696216553,4.871666322,3.158362492,4.94129274,5.771316973,4.564429327,5.305497543,4.535800291,4.583289479,4.005695181,2.401400541,2.428134794,2.505149978,2.819543936,2.365487985,3.07773118,2.301029996,2.677606953,2.702430536,2.7355989,2.465382851,6.299939417,2.976808337,3.495821753,2.301029996
69_NT2_BA2_01_32482.mzML,69,NT2,2,NT,3.87760168,2.301029996,3.555336328,2.751279104,4.921728083,6.851429831,5.266146994,4.965728369,4.970737287,3.902872785,5.810366954,6.101180472,5.457167068,6.148448404,4.946314684,5.312414334,5.92808231,5.734361315,4.718833718,4.807426779,4.123459619,5.088136089,5.498520068,2.301029996,3.770262738,6.198407433,4.829638212,4.9200398,3.485721426,4.959842428,5.932838906,4.425273305,5.332535408,4.600057628,4.447901899,4.044226077,3.13481437,2.673941999,2.301029996,2.309630167,3.005180513,2.77524626,2.996511672,2.738780558,2.627365857,3.0523091,2.800717078,6.357254682,2.918030337,2.357934847,2.301029996
69_NT3_BA3_01_32483.mzML,69,NT3,3,NT,3.771440487,2.301029996,3.365487985,2.971275849,3.704836606,6.67501867,4.853673881,4.380500675,4.703703977,3.213783299,5.474822105,5.64252783,4.894692583,5.658614218,4.689379904,5.120508124,5.551869451,4.893206753,4.48702519,4.667452953,3.34084055,4.774604546,4.864605998,2.414973348,3.036628895,5.951541502,4.818938133,4.743164701,2.716003344,4.714162046,5.6193772,4.437813959,5.128463891,4.526287573,3.523746467,3.451479405,2.698970004,2.847572659,2.471291711,2.896526217,2.627365857,2.958085849,2.301029996,2.684845362,2.51054501,2.7355989,2.465382851,6.362342211,2.880813592,3.232487866,2.974971994
69_NT4_BA4_01_32484.mzML,69,NT4,4,NT,3.932067692,2.301029996,3.60031933,2.531478917,4.628756647,6.757036296,4.306810896,4.750662646,5.078935076,3.456366033,5.897283918,5.96305079,4.841534655,5.542352299,5.003805074,5.250624902,5.973216551,5.419625361,4.473457773,4.944995626,3.399327532,4.666517981,4.37774324,2.712649702,2.958085849,5.426927464,4.47468237,4.439963936,3.018700499,4.657132374,4.784246308,4.047041103,5.368085966,4.327808324,3.739097446,3.109915863,2.301029996,2.84260924,2.357934847,2.447158031,2.786751422,2.832508913,2.837588438,2.301029996,3.13481437,3.090610708,2.51054501,6.288557729,2.946452265,3.314709693,3.317227349
69_NT5_BA5_01_32485.mzML,69,NT5,5,NT,3.752202153,2.57054294,3.617000341,2.301029996,3.867820908,6.267003612,3.704836606,3.882410684,4.643926194,3.930031615,5.359850654,5.027838678,3.790425917,4.619469,4.312769557,4.920269458,5.509449852,4.662266612,4.582427018,4.814114356,2.619093331,3.816108671,3.834293512,2.936513742,2.635483747,4.656673046,4.16172727,3.34084055,2.751279104,3.668385917,4.105305763,3.735279448,5.037585843,3.671728088,3.982271233,3.038222638,2.973127854,3.008600172,2.301029996,3.010299957,3.005180513,3.180699201,3.478277832,2.873901598,3.071882007,2.401400541,3.28780173,6.278214742,2.610660163,2.905256049,2.973127854
69_NT6_BA6_01_32486.mzML,69,NT6,6,NT,3.673941999,2.301029996,3.433289685,3.080626487,3.420285885,5.894772275,3.250420002,3.363235804,4.536406918,3.527887566,5.272435742,4.580879378,4.015527404,4.459151146,4.159567193,4.944127195,5.524598616,4.318897715,4.197115081,5.043267941,3.254306332,3.325515663,3.553883027,3.200850498,2.907411361,4.49203363,4.172602931,3.670616886,2.760422483,4.111396949,3.743509765,3.696880372,5.151774227,4.024813933,3.818225894,2.946452265,2.800717078,2.907411361,3.377306251,2.907411361,3.3586961,3.396548038,3.443419462,2.459392488,2.301029996,3.011993115,2.643452676,6.290268844,3.278753601,2.928395852,3.15715444
69_NT7_BA7_01_32487.mzML,69,NT7,7,NT,3.533009022,2.301029996,3.629001619,2.301029996,3.819807065,5.319622323,2.854913022,2.814247596,4.060395617,3.794348604,4.773640193,4.213889471,3.281487888,4.384604275,3.336859821,4.411888952,5.086089202,4.197556213,4.333970933,5.007133017,3.109915863,3.530967682,3.615739689,2.958085849,2.643452676,4.187069271,3.941710149,3.498034724,2.334453751,3.645029065,3.428134794,3.738780558,4.744073824,3.485721426,3.587037118,2.883093359,2.695481676,2.811575006,2.619093331,2.894316063,2.606381365,2.387389826,3.210586025,2.907411361,2.301029996,3.409595019,2.301029996,6.296247365,2.963787827,3.033423755,2.372912003
69_NT8_BA8_01_32488.mzML,69,NT8,8,NT,3.572406868,2.301029996,3.144885418,2.301029996,3.673205282,4.984599315,2.847572659,3.041392685,3.747567163,2.301029996,4.410338501,4.039652024,3.662757832,4.180699201,3.386677284,4.394101302,4.943593433,4.004665233,4.16589691,4.951084836,2.531478917,3.463594402,3.528402438,2.905256049,3.246498581,4.252561786,3.51851394,3.697229343,2.301029996,3.917610526,3.46478752,3.631037697,4.698135357,3.659345636,3.977723605,3.245512668,2.593286067,2.477121255,2.866877814,3.104487111,3.087781418,3.307067951,3,3.105850674,2.709269961,3.236537261,3.050766311,6.226600936,3.462397998,3.883547879,2.86923172
69_NT9_BA9_01_32489.mzML,69,NT9,9,NT,3.667266119,2.301029996,3.161966616,2.705863712,3.452093249,4.743039155,3.23146959,2.658964843,3.49248101,4.07889162,3.945665499,3.64384731,3.426836454,2.301029996,2.301029996,4.043283666,4.468701712,3.629817196,3.764026608,5.081015879,2.440909082,3.400710637,2.924279286,2.579783597,3.232487866,3.858777737,3.34869419,3.213783299,2.440909082,2.84260924,3.357934847,3.505692507,4.283301229,3.542576476,3.594613509,2.781036939,2.301029996,3.001733713,2.593286067,2.301029996,3.046104787,3.130976692,2.889861721,2.976808337,2.301029996,3.067442843,3.097604329,6.245294479,3.288696261,3.275080898,2.716003344
69_NT10_BA10_01_32490.mzML,69,NT10,10,NT,3.604226053,2.301029996,2.614897216,2.477121255,3.401400541,4.843033343,2.357934847,2.878521796,3.316389751,3.41763774,3.988380565,3.870169721,3.222196046,4.075254901,2.588831726,3.916348652,4.490969251,3.51851394,3.172602931,5.127351045,2.635483747,3.571009672,2.996511672,3.267640982,3.142389466,3.910624405,3.39375064,3.617000341,2.79518459,3.412964272,3.51054501,3.60075515,4.266325791,3.577031986,4.1189918,2.934498451,2.725911632,2.942504106,2.301029996,2.716003344,3.270445908,2.913813852,2.698970004,2.835056102,2.878521796,2.967547976,2.757396029,6.220186568,3.587935349,3.062957834,2.526339277
107_NT1_GC7_01_31983.mzML,107,NT1,1,NT,4.423180315,6.394009456,5.823925244,3.940516485,4.941193297,6.964828697,5.766918238,5.54689785,5.675899268,6.280035391,6.723133403,6.83065384,5.79250095,6.653676286,5.903721426,5.788575596,6.088432371,5.775228771,5.852528788,4.683119114,4.604269264,5.544395503,6.073474931,2.401400541,4.119387874,6.714737369,4.18593859,5.272296565,3.899601659,5.506586201,6.069096553,4.160288413,5.52404283,5.518492883,5.118938963,4.866736173,2.301029996,4.253531844,3.753736222,3.070407322,3.40277707,3.626134979,4.07773118,2.984077034,3.068927612,3.465382851,3.764325606,6.249167038,4.331953395,3.29578694,3.936513742
107_NT2_GC8_01_31984.mzML,107,NT2,2,NT,4.10339317,5.660060624,5.498205759,3.563481085,4.482244544,6.897032746,5.226579285,3.821906377,4.989343011,6.563674695,5.995326253,6.207647291,2.994756945,5.563110709,5.405482963,5.41418422,5.671524581,5.290203842,5.51835072,4.983824673,3.92158244,4.819543936,5.189894382,2.871572936,3.465382851,6.485065231,4.3950117,5.113448643,3.592842683,5.155263143,3.629001619,3.872272846,5.186515605,5.243167077,4.653444076,4.123851641,2.301029996,3.495821753,2.850033258,2.950364854,2.521138084,3.302763708,3.529943402,3.028571253,2.434568904,3.074816441,3.120573931,6.315070613,3.495821753,2.301029996,3.115277591
107_NT3_GC9_01_31985.mzML,107,NT3,3,NT,4.028408565,5.730565882,5.518055715,3.655906418,4.233300772,6.761654553,5.118304416,2.301029996,4.637729826,6.28166593,5.227948375,5.677541256,3.578868329,3.448397103,5.103735323,5.347852806,5.520310567,4.960965202,5.475659568,5.092144946,3.771734425,4.353416091,4.615107987,2.816903839,3.523746467,6.3895233,4.338775125,5.052647779,3.176091259,5.162612194,3.406199424,3.406199424,5.173244559,5.208538094,4.960109111,3.926753905,2.619093331,3.366236124,2.852479994,3.27600199,2.584331224,3.412964272,2.909556029,2.814247596,2.515873844,2.760422483,2.394451681,6.313078027,3.471291711,3.286905353,3.195346058
107_NT4_GC10_01_31986.mzML,107,NT4,4,NT,4.120705516,5.479586826,5.603516775,3.308777774,4.282304828,6.62035346,5.08979211,3.908270499,4.47787338,6.419155116,5.172334333,5.504737202,4.19634202,3.096214585,4.953721043,5.437737883,5.538387711,4.816400402,5.631350406,5.306810896,3.594171479,4.239449641,4.713960704,2.301029996,3.042969073,6.514926367,4.545257621,5.14390123,3.90439092,5.239549721,2.854913022,3.388101202,5.244692657,5.369497872,5.199733243,3.809425029,3.111262514,3.215901813,3.090610708,2.850033258,2.942504106,2.996511672,3.270445908,2.866877814,2.556302501,3.169086357,3.375846436,6.314179126,3.661244609,2.829946696,3.125806458
107_NT5_GC11_01_31987.mzML,107,NT5,5,NT,4.018700499,5.33176731,5.431338027,2.803457116,3.899820502,6.229174827,4.931620574,2.741939078,4.33725954,6.365894384,4.941650544,2.909556029,3.631849462,4.039017322,4.626873924,5.319256006,5.311389324,4.412628521,5.481408228,5.18614233,3.241546481,4.005180513,4.361878869,2.792391689,3.627775375,6.286724958,4.202488317,5.000451432,3.528402438,5.101444612,2.301029996,3.127104798,5.144250312,5.276268741,5.183486225,3.383815366,2.301029996,2.526339277,3.074816441,3.23146959,3.041392685,2.754348336,3.041392685,2.832508913,3.220108088,2.584331224,3.031812271,6.325802909,3.376576957,3.164352856,2.465382851
107_NT6_GC12_01_31988.mzML,107,NT6,6,NT,3.733678656,4.407220893,5.272045932,2.673941999,3.749736316,5.892795589,4.812993527,2.797959644,4.170965406,6.411068577,3.51851394,3.974235277,3.883093359,3.830716949,4.205312653,5.137746445,5.132771829,4.091455913,5.358802569,5.326130957,3.318897715,3.984617313,4.205529151,2.301029996,3.420945406,6.278844108,4.256332818,4.918764031,3.294906911,4.927698783,4.024157154,3.62572391,4.883343404,5.085960951,5.257544187,3.441538039,3.177247836,2.922206277,2.561101384,2.797959644,3.279666944,2.903089987,3.13481437,3.101747074,3.02201574,2.301029996,2.907411361,6.3041483,3.430719888,2.948412966,3.0523091
107_NT7_GD1_01_31989.mzML,107,NT7,7,NT,3.756179517,4.63748973,5.115091045,2.584331224,3.311329952,5.517602281,4.605649759,3.030194785,3.852723911,6.482874155,3.613207352,3.704150517,3.646207612,3.128399269,3.758306182,5.016113666,4.915019727,3.766115283,5.19346967,5.147948253,2.77815125,3.611510887,3.915294283,2.864511081,3.005180513,5.983146178,4.460055487,4.831741834,2.814247596,4.681494502,3.026941628,3.346352974,4.435908041,4.952443705,5.102639484,3.336059278,2.365487985,2.948412966,2.365487985,3.216957207,2.840106094,3.178401342,3.468937806,2.526339277,2.414973348,2.985875357,3.198657087,6.351093294,3.477121255,3.115277591,2.998259338
107_NT8_GD2_01_31990.mzML,107,NT8,8,NT,3.946452265,4.141637875,4.789580712,2.380211242,3.154728207,4.999652425,4.132771829,3.181843588,3.510008513,6.124245919,2.301029996,3.434568904,3.454539985,3.414304688,3.181843588,4.716737682,4.643531632,3.372175286,4.85834467,5.052817019,2.73239376,2.394451681,3.34869419,2.301029996,3.093421685,5.416553973,3.615318657,4.529327672,3.318897715,4.308436347,3.508933526,3.35945602,3.849296541,4.620677284,4.980403375,3.031812271,2.835056102,2.401400541,2.635483747,2.95230801,2.8876173,2.606381365,2.873901598,2.936513742,2.536558443,2.627365857,2.719331287,6.329937818,3.5470359,2.889861721,2.840106094
107_NT9_GD3_01_31991.mzML,107,NT9,9,NT,3.905687968,4.027431158,4.901305719,2.635483747,2.898725182,5.172287603,4.01853407,3.648555156,3.599883072,6.178807798,2.488550717,3.521138084,3.475961589,3.80126647,3.427486109,4.873971265,4.553883027,3.540579717,4.956955596,5.204065692,2.954242509,3.543074235,3.734319681,2.958085849,3.282395505,5.290203842,3.581152892,4.717870133,3.264817823,4.670765211,3.160768562,3.073351702,4.410473543,4.760301829,5.208226306,2.827369273,3.219060332,2.922206277,3.068927612,2.763427994,3.001733713,3.269512944,2.871572936,2.920123326,2.301029996,3.097604329,2.987666265,6.228859052,3.271376872,2.84509804,2.499687083
